season,daynum,wteam,wscore,lteam,lscore,numot
Q,134,536,78,627,72,0
Q,134,835,59,685,58,0
Q,135,771,65,539,54,0
Q,135,828,71,643,59,0
Q,136,521,68,748,60,0
Q,136,556,68,817,64,0
Q,136,607,77,843,54,0
Q,136,625,79,702,66,0
Q,136,629,77,559,64,0
Q,136,637,70,772,64,0
Q,136,640,81,835,66,0
Q,136,651,69,568,62,0
Q,136,660,88,536,68,0
Q,136,687,58,557,41,0
Q,136,701,75,647,68,0
Q,136,720,78,653,59,0
Q,136,786,72,814,65,0
Q,136,825,62,846,59,0
Q,136,827,79,612,70,0
Q,136,849,73,680,49,0
Q,137,549,65,793,59,0
Q,137,562,58,504,57,0
Q,137,592,71,830,45,0
Q,137,595,66,775,63,0
Q,137,603,74,522,59,0
Q,137,636,65,574,50,0
Q,137,644,75,577,70,0
Q,137,671,89,648,67,0
Q,137,695,79,754,65,0
Q,137,707,86,676,84,0
Q,137,708,77,828,58,0
Q,137,719,65,670,60,0
Q,137,738,72,781,69,0
Q,137,771,58,789,44,0
Q,137,780,61,666,54,0
Q,137,853,67,717,63,0
Q,138,521,80,556,63,0
Q,138,625,63,825,61,0
Q,138,640,87,629,71,0
Q,138,651,59,701,56,0
Q,138,660,62,687,53,0
Q,138,720,73,607,66,0
Q,138,786,75,637,59,0
Q,138,849,60,827,57,0
Q,139,549,62,595,56,0
Q,139,592,84,707,50,0
Q,139,636,63,738,60,0
Q,139,671,65,780,61,0
Q,139,695,66,603,63,0
Q,139,708,87,562,73,0
Q,139,719,62,771,56,0
Q,139,853,70,644,58,0
Q,143,592,68,660,58,0
Q,143,651,57,671,44,0
Q,143,720,81,549,66,0
Q,143,786,64,849,63,0
Q,144,521,75,853,70,0
Q,144,636,60,695,57,0
Q,144,640,102,625,90,0
Q,144,708,73,719,65,1
Q,145,651,72,592,68,0
Q,145,720,77,786,70,0
Q,146,636,80,708,67,0
Q,146,640,82,521,70,0
Q,152,636,64,720,62,0
Q,152,640,69,651,61,0
Q,154,640,67,636,59,0
